Genus,Species,Chromosome number,Ploidy level,1C (pg),Lifecycle,Paper,Original Reference
Atropa,bella-donna,72,6,1.95,P,1991,"Olszewska and Osiecka, 1983 (Ref. 156)"
Calibrachoa,calycina,18,2,1.54,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,dusenii,18,2,1.43,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,eglandulata,18,2,1.44,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,elegans,18,2,1.6,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,ericaefolia,18,2,1.47,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,heterophylla,18,2,1.49,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,linearis,18,2,1.52,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,linoides,18,2,1.43,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,macrodactylon,18,2,1.51,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,micrantha,18,2,1.44,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,parviflora,18,2,0.96,A,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,pygmaea,18,2,0.78,A,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,rupestris,18,2,1.63,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,selloviana,18,2,1.49,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,sendtneriana,18,2,1.48,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,serrulata,18,2,1.48,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,spathulata,18,2,1.45,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
Calibrachoa,thymifolia,18,2,1.52,P,2005a,"Mishiba et al., 2000 (Ref. 387)"
