Genus,Species,Currently accecpted Name?,Genome Size (mb),Chrom Number,Ploidy level,Genbank Acc #,Habitat Preference (Biomes) ,Life form (P/A),Ref. spp size / Chrom #,Ref. Habitat Pref,Ref. Life form ,Notes
Calibrachoa,pygmaea, Petunia pygmaea,3051,18,2,,Tropical,A,"Mishiba et al., 2000 (Ref. 387)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,parviflora,,3736,18,2,,Temperate,A,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Datura,innoxia,,8900,24,2,,Tropical,A,"Bennett and Smith, 1976 (Ref. 2)",,W,
Datura,discolor,,8900,24,2,,Temperate,A,"Bennett and Smith, 1976 (Ref. 2)",,W,
Datura,stramonium,,8020,,,,Temperate,A,"Arumuganathan and Earle, 1991 (Ref. 227)",,,
Hyoscyamus,niger,,4499,34,2,,Temperate,A,"Olszewska and Osiecka, 1983 (Ref. 156)",W,W,
Hyoscyamus,albus,,10269,68,4,,Temperate,A,"Srivastava and Lavania, 1987 (Ref. 247)",,https://plants.usda.gov/core/profile?symbol=HYAL2,
Hyoscyamus,muticus,,9389,28,2,,Tropical,A,"Srivastava and Lavania, 1987 (Ref. 247)",,,
Nicotiana,acuminata,,12910,24,2,,,A,"Narayan, 1987 (Ref. 199)",,http://docserver.ingentaconnect.com/deliver/connect/iapt/00400262/v53n1/s8.pdf?expires=1522811988&id=0000&titleid=6069&checksum=6EA0AC26FBF8D4ADB447928A5055AD36,
Petunia,parodii,Petunia axillaris subsp. parodii,5868,14,2,,Temperate,A,"White and Rees, 1985 (Ref. 168)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=parodii&especie=axillaris&genero=Petunia&espcod=11970,,
Petunia,parviflora,,3325,18,2,,Temperate,A,"White and Rees, 1985 (Ref. 168)",http://www.calflora.org/cgi-bin/species_query.cgi?where-taxon=Petunia+parviflora,,
Petunia,inflata,,4694,14,2,,Temperate,A,"White and Rees, 1987 (Ref. 179)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=inflata&genero=Petunia&espcod=179155,,
Petunia,violacea,Petunia integrifolia ,4988,14,2,,Temperate,A,"White and Rees, 1987 (Ref. 179)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=integrifolia&especie=integrifolia&genero=Petunia&espcod=11980,,
Petunia,axillaris,Nicotiana axillaris,5477,14,2,,Temperate,A,"White and Rees, 1987 (Ref. 179)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=parodii&especie=axillaris&genero=Petunia&espcod=11970,,
Petunia,exserta,,6142,14,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=exserta&genero=Petunia&espcod=114393,,
Atropa,belladonna,,7628,72,6,,Temperate,P,"Olszewska and Osiecka, 1983 (Ref. 156)",W,W,
Calibrachoa,dusenii,Petunia dusenii,5594,18,2,,Tropical,P,"Mishiba et al., 2000 (Ref. 387)",floradobrasil,floradobrasil,
Calibrachoa,elegans,,6240,18,2,,Tropical,P,"Mishiba et al., 2000 (Ref. 387)",floradobrasil,floradobrasil,
Calibrachoa,linoides,,5575,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,micrantha,,5633,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,rupestris,Calibrachoa paranensis,6377,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=paranensis&genero=Calibrachoa&espcod=186528,
Calibrachoa,serrulata,,5770,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,sellowiana,,5809,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=sellowiana&genero=Calibrachoa&espcod=179252,
Calibrachoa,spathulata,,5653,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,thymifolia,,5927,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
Calibrachoa,eglandulata,,5633,18,2,,Temperate,P,"Mishiba et al., 2000 (Ref. 387)",,http://www2.darwin.edu.ar/Proyectos/FloraArgentina/DetalleEspecie.asp?forma=&variedad=&subespecie=&especie=pygmaea&genero=Calibrachoa&espcod=11999,
